Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Bild;Rabattgruppe;Gewicht;id;
02-1000042;6,60;Zellkautschukband 15x8mm 5m für RA USV;;Closed-cell sponge rubber tape 15x8mm 5m FE USV;;Bande en caoutchouc alvéolaire 15x8mm 5m pour extraction USV;;Nastro in gomma cellulare 15x8mm 5m per RA USV;;Gumijasti trak s celi?no strukturo 15x8mm 5m za DN USV;;Cinta de caucho celular 15x8mm 5m para RA USV 2005;;;;;;;;;;;Ersatzt;0,20;434768;
02-1000044;5,30;Keramikband weiß 2x9mm;VPE 10m;Ceramic band white 2x9mm;VPE 10m;Bande en céramique blanche 2x9mm;UE 10 m;Nastro ceramico bianco 2x9mm;;Kerami?ni trak, beli 2x9mm;;Cinta cerámica blanca 2x9mm alta temperatura;;;;;;;;;;;Ersatzt;0,07;434769;
02-1000045;6,00;Keramikband weiß 6x15mm;VPE 10m;Ceramic band white 6x15mm;VPE 10m;Bande en céramique blanche 6x15mm                              ;UE 10 m;Nastro ceramico bianco 6x15mm;;Kerami?ni trak, beli 6x15mm;;Cinta cerámica blanca 6x15mm;;;;;;;;;;;Ersatzt;0,03;434770;
02-1000047;4,70;Keramikfaserpackung ø4mm;;Ceramic fibre packing ø4mm;;Paquet de fibre céramique ø4mm                                 ;;Confezione fibra ceramica ø4mm;;Kerami?no tesnilo ø4mm;;Empaquetadura de fibra cerámica ø4mm;;;;;;;;;;;Ersatzt;0,19;434771;
02-1000048;5,50;Keramikfaserpackung ø6mm;;Ceramic fibre packing ø6mm;;Paquet de fibre céramique ø6mm                                 ;;Confezione fibra ceramica ø6mm;;Kerami?no tesnilo ø6mm;;Empaquetadura de fibra cerámica ø6mm;;;;;;;;;;;Ersatzt;0,02;434772;
02-1000049;4,60;Glasfaserpackung 10x10mm geflochten;;Fibre glass packing 10x10mm;;Paquet de fibre de verre 10x10mm;;Confezione fibra di vetro 10x10mm;;Tesnilna vrvica iz steklenih vlaken 10x10mm;;Embalaje 10x10mm trenzadas de fibra de vidrio ;;;;;;;;;;;Ersatzt;0,11;434773;
02-1000051;11,20;Isokeramikpackung 12x12mm geflochten;;Ceramic fibre packing 12x12mm;;Paquet de fibre céramique 12x12mm;;Confezione fibra ceramica 12x12mm;;Kerami?no tesnilo 12x12mm;;Junta cerámica 12x12mm cruzado con hilo trenzado;;;;;;;;;;;Ersatzt;0,09;434774;
02-1000053;8,10;Glasfaserpackung 12x12mm Brenner USP   l = 915mm;;Fibre glass packing 12x12mm burner USP l=915mm;;Paquet de fibre de verre 12x12mm brûleur USP   l = 915mm;;Confezione fibra di vetro 12x12mm bruciatore USP   l = 915mm;;Tes. vrvica iz stek. vlaken 12x12mm, goril. USP, L=915mm;;Junta de fibra de vidrio 12x12mm quemador USP   l = 915mm;;;;;;;;;;;Ersatzt;0,13;434775;
02-1000054;1,90;Keramikfaserpackung 12x12mm, l=140mm;;Ceramic fibre packing 12x12mm, l=140mm, igniter HG;;Paquet de fibre céramique 12x12mm, l=140mm, allumage Plaquettes;;Confezione fibra ceramica 12x12mm, l=140mm, accensione HG;;Kerami?no tesnilo 12x12mm, L=140mm, vžigalnik HG;;Junta cerámica 12x12mm l=140 mm encendido HG;;;;;;;;;;;Ersatzt;0,01;434776;
02-1000056;5,10;Keramikfaserpackung 12x12mm, l=450mm;;Ceramic fibre packing 12x12mm, l=450mm;;Paquet de fibre céramique 12x12mm, l=450mm;;Confezione fibra ceramica 12x12mm, l=450mm;;Kerami?no tesnilo 12x12mm, L=450mm;;Junta cerámica 12x12mm l=450 mm Sinfín de ceniza  HG;;;;;;;;;;;Ersatzt;0,04;434777;
02-1000059;15,50;Keramikfaserpackung 14x14mm;;Ceramic fibre packing 14x14mm;;Paquet de fibre céramique 14x14mm;;Confezione fibra ceramica 14x14mm;;Kerami?no tesnilo 14x14mm;;Junta cerámica 14x14 mm;;;;;;;;;;;Ersatzt;0,14;434778;
02-1000062;17,60;Keramikfaserpackung 15x15mm;VPE 50m;Ceramic fibre packing 15x15mm;VPE 50 m;Paquet de fibre céramique 15x15mm;UE 50 m;Confezione fibra ceramica 15x15mm;;Kerami?no tesnilo 15x15mm;;Junta cerámica 15x15mm;;;;;;;;;;;Ersatzt;0,17;434779;
02-1000063;10,00;Glasfaserpackung 16x16mm;VPE 50m;Glass fibre packing 16x16mm;VPE 50 m;Paquet de fibre de verre 16x16mm;UE 50 m;Confezione fibra di vetro 16x16mm;;Tesnilna vrvica iz steklenih vlaken 16x16mm;;Junta de fibra de vidrio 16x16mm;;;;;;;;;;;Ersatzt;0,26;434780;
02-1000064;15,50;Keramikfaserpackung 20x20mm;VPE 25m;Ceramic fibre packing 20x20mm;VPE 25m;Paquet de fibre céramique 20x20mm                              ;UE 25 m;Confezione fibra ceramica 20x20mm;;Kerami?no tesnilo 20x20mm;;Embalaje de fibra cerámica 20x20mm;;;;;;;;;;;Ersatzt;0,24;434781;
02-1000069;33,50;Keramikfaserpackung 30x30mm;;Ceramic fibre packing 30x30mm;;Paquet de fibre céramique 30x30mm;;Confezione fibra ceramica 30x30mm;;Kerami?no tesnilo 30x30mm;;Empaquetadura de fibra cerámica 30x30mm;;;;;;;;;;;Ersatzt;0,07;434782;
02-1000071;17,40;Dichtungsprofil schwarz Zyklon Saugsyste;;Sealing profile black cyclone suction system;;Joint profilé noir Cyclone système d'aspiration;;Profilo di tenuta nero ciclone sistema di aspirazione;;Tesnilni profil, ?rni, ciklon sesalni sistem;;Empaquetadura perfilada negra ciclón sistema de succión;;;;;;;;;;;Ersatzt;0,21;434783;
02-1000072;7,20;Dichtungsprofil schwarz USP Verkleidung;;Sealing profile black USP casing;;Joint profilé noir habillage USP;;Profilo di tenuta nero rivestimento USP;;Tesnilni profil, ?rni, obloga USP;;Empaquetadura perfilada negro USP revestimiento NUEVO;;;;;;;;;;;Ersatzt;0,10;434784;
02-1000073;19,90;Dichtungsprofil schwarz Übergabestation;;Sealing profile black transfer point;;Joint profilé noir station de transfert;;Profilo di tenuta nero stazione di trasferimento;;Tesnilni profil, ?rni, presipna postaja;;Junta perfilada negra estación de transferencia;;;;;;;;;;;Ersatzt;0,21;434785;
02-1000074;3,50;Dichtungsprofil Mossgummi AD8mm mit Schl;;Sealing profile foam rubber AD8mm with slot, black;;Joint profilé caoutchouc mousse AD8mm avec fente, noir;;Profilo di tenuta in gommapiuma AD8mm con fessura, nero;;Tesnilni profil iz penaste gume, ZP8mm, z zarezo, ?rni;;Junta perfilada de caucho celular AD8mm con ranura, negra;;;;;;;;;;;Ersatzt;0,01;434786;
02-1000075;12,10;Kantenschutzprofil;;Edge protection profile;;Profilé protège-arête;;Profilo paraspigoli;;Profil za zaš?ito robov;;Perfil de protección de cantos;;;;;;;;;;;Ersatzt;0,03;434787;
02-1000076;9,20;Kantenschutzprofil;;Edge protection profile;;Profilé protège-arête;;Profilo paraspigoli;;Profil za zaš?ito robov;;Perfil de protección de cantos;;;;;;;;;;;Ersatzt;0,06;434788;
02-1000077;14,80;Moosgummiprofil Nr. 635 Deckeldichtung B;;Foam rubber profile No. 635 cover seal USVV;;Profilé en caoutchouc mousse n° 635 joint de couvercle USVV;;Profilo in gommapiuma n. 635 guarnizione coperchio USVV;;Profil iz penaste gume št. 635, tesnilo pokrova USVV;;Pefil de caucho celular Nr. 635 junta de cubierta contendor USV;;;;;;;;;;;Ersatzt;0,40;434789;
02-1000080;30,10;Steinwolle Wärmedämmplatte;;Mineral wool heat insulation plate;;Laine de roche plaque calorifugée;;Pannello termoisolante in lana minerale;;Toplotna izolacijska ploš?a iz kamene volne;;Placa termoaislante de lana mineral;;;;;;;;;;;Ersatzt;0,80;438943;
02-1000089;213,10;Keramikfasermatte, s=25,4mm;;Ceramic fibre mat, s = 25.4mm;;Natte de fibres céramiques, épaisseur=25,4mm;;Tappetino in fibra ceramica, s=25,4mm;;Obloga iz kerami?nih vlaken, s=25,4mm;;Estera de fibra cerámica, s=25,4mm;;;;;;;;;;;Ersatzt;15,35;439663;
02-1000096;254,60;Keramikfaserpapier, s=2mm;;Ceramic fibre paper, s=2mm;;Papier de fibres céramiques, épaisseur=2mm;;Carta in fibra ceramica, s=2mm;;Papir iz kerami?nih vlaken, s=2mm;;Fibra cerámica de papel de 2 mm;;;;;;;;;;;Ersatzt;3,00;439664;
02-1000097;5,10;Isolierband  10m;;Duct tape 10m;;Ruban isolant  10m;;Nastro isolante 10m;;Izolirni trak 10m;;Cinta aislante;;;;;;;;;;;Ersatzt;0,03;434790;
02-1000098;3,80;Teflonband 10m;;teflon tape 10m                                                ;;Ruban Téflon 10m;;Nastro di teflon 10m;;Teflonski trak 10m;;Cinta de teflón 10m;;;;;;;;;;;Ersatzt;0,01;434791;
02-1000099;27,40;Aluklebeband b=50mm;;Adhesive aluminium tape b=50mm;;Ruban adhésif alu largeur=50mm;;Nastro adesivo in alluminio b=50mm;;Aluminijasti lepilni trak, š=50mm;;Cinta adhesiva de aluminio b=50mm;;;;;;;;;;;Ersatzt;0,39;434792;
02-1000109;10,30;Silikondichtung vorm. für Klappe BSK;;Silicone seal pre-assembled for fire shutter, USV;;Joint silicone préinstallé pour clapet coupe-feu, USV;;Guarnizione in silicone premontata per saracinesca BSK, USV;;Silikonsko tesnilo, vnaprej montirano za PPL, USV;;Puerta de la junta de silicona para BSK Ex, UPS;;;;;;;;;;;Ersatzt;0,10;434793;
02-1010004;240,40;Hochtemperaturschlauch Ø102mm;;High temperature hose Ø102mm;;Flexible haute température Ø102mm;;Tubo per alta temperatura Ø102mm;;Visokotemperaturna cev Ø102 mm;;Manguera de alta temperatura Ø102mm;;;;;;;;;;;Ersatzt;1,19;434794;
02-1010007;12,60;Dichtung;;;;;;;;;;;;;;;;;;;;;Ersatzt;0,42;438929;
02-1010009;18,30;Dichtung;;Seal;;Joint;;Guarnizione;;Tesnilo;;Junta;;;;;;;;;;;Ersatzt;0,40;438744;
02-1010011;7,50;Dichtung;;Seal;;Joint;;Guarnizione;;Tesnilo;;Junta;;;;;;;;;;;Ersatzt;0,18;438496;
02-1010015;20,70;Dichtung 20-50kW;;Seal 20-50kW;;Joint 20-50kW;;Guarnizione 20-50kW;;Tesnilo 20-50kW;;Junta 20-50kW;;;;;;;;;;;Ersatzt;0,22;439640;
02-1010016;9,20;Dichtung 60-120kW;;Seal 60-120kW;;Joint 60-120kW;;Guarnizione 60-120kW;;Tesnilo 60–120 kW;;Junta 60-120kW;;;;;;;;;;;Ersatzt;0,26;437820;
02-1010019;24,30;Schlauch PUR IDØ80mm schwer entflammbar;;Hose PUR IDØ80mm flame retardant;;Flexible PUR ID Ø 80mm difficilement inflammable;;Tubo flessibile PUR Ø 80 mm ignifugo;;Cev PUR IDØ80mm težko vnetljiva;;;;;;;;;;;;;Ersatzt;0,59;438403;
02-1010023;37,60;Schlauch PUR IDØ76mm schwer entflammbar;;Hose PUR IDØ76mm flame retardant;;Flexible PUR ID Ø 76mm difficilement inflammable;;Tubo PUR Ø 76 mm;;Fleksibilna cev PUR ID Ø 76mm težko vnetljiva;;;;;;;;;;;;;Ersatzt;0,57;438497;
02-1010024;49,70;Hochtemperaturschlauch Ø63mm;;;;;;;;;;;;;;;;;;;;;Ersatzt;0,50;438939;
02-1010025;9,50;Isolierschlauch Ø80;;;;;;;;;;;;;;;;;;;;;Ersatzt;0,25;438812;
02-2000001;548,60;Edelstahl-Wellschlauch DN50, L=2.500mm;;Stainless steel corrugated hose DN50, L=2,500mm                ;;Flexible annelé acier DN50, L=2.500mm;;Tubo ondulato in acciaio inox DN50, L=2.500mm;;Valovita cev iz nerjavnega jekla DN50, L=2.500mm;;Manguera ondulada de acero inoxidable DN50, L=2.500mm;;;;;;;;;;;Ersatzt;6,00;434795;
02-2000003;10,30;Silikon U-Dichtprofil;;Silicon U-profile seal                                         ;;Profilé d’étanchéité en U en silicone                          ;;Profilo di tenuta a U in silicone;;Silikonski tesnilni U-profil;;Perfil de obturación en U de silicona;;;;;;;;;;;Ersatzt;0,07;434796;
02-2000004;7,00;Schlauch PVC Ø19xØ26mm Wasserkanister l=1500mm;;Hose PVC Ø19xØ26mm water canister l=1500mm                     ;;Flexible PVC Ø19xØ26 mm réservoir d’eau l=1500mm               ;;Tubo flessibile PVC Ø19xØ26mm tanica dell'acqua l=1500mm;;PVC-cev Ø19 x Ø26 mm, posoda za vodo d = 1.500 mm;;Manguera de PVC Ø19xØ26mm recipiente de agua l=1500mm;;;;;;;;;;;Ersatzt;0,30;434797;
02-2000005;12,30;Kombinationsdichtprofil 6003 PVC schwarz;;Combined sealing profile 6003 PVC black                        ;;Profilé d’étanchéité combiné 6003 PVC noir                     ;;Profilo di tenuta combinato 6003 PVC nero;;Kombinirani tesnilni profil 6003 PVC, ?rn;;Perfil de obturación combinado 6003 PVC negro;;;;;;;;;;;Ersatzt;0,20;434798;
02-2000006;282,30;Spiralsaugschlauch Ø51mm mit Kupferlitze;;Spiral suction hose Ø51mm with copper braid;;Flexible d'aspiration à spirale Ø51 mm avec tresse cuivre      ;;Tubo d'aspirazione a spirale Ø51mm con trefolo di rame;;Spiralna sesalna cev Ø51 mm z bakreno pletenico;;Manguera espiral Ø51mm con flexible de cobre;;;;;;;;;;;Ersatzt;21,00;434799;
02-2000012;3,50;Keramikband weiß 3x10mm;;Ceramic band white 3x10mm;;Bande en céramique blanche 3x10mm;;Nastro ceramico bianco 3x10mm;;;;;;;;;;;;;;;Ersatzt;0,07;434800;
02-2000021;456,30;Spiralsaugschlauch Ø51mm mit Kupferlitze, 25m (Longlife H 120);;;;Flexible d'aspiration Ø51mm, 25m (Longlife H 120);;;;Spiralna cev Ø51mm, 25m (Longlife H 120);;;;;;;;;;;;;Ersatzt;23,00;438779;
02-2000022;56,00;Keramikfaserpapier, s=2mm Zuschnitt;"Breite: 500mm
Stärke: 2mm
Länge: 2m";;;;;;;;;;;;;;;;;;;;Ersatzt;0,45;439108;
02-2000023;83,10;Keramikfasermatte, s=25,4mm Zuschnitt;;;;;;;;;;;;;;;;;;;;;Ersatzt;3,35;439139;
02-2000027;13,40;Schlauch PUR IDØ76mm L=400mm schwer entflammbar;;;;;;;;;;;;;;;;;;;;;Ersatzt;0,25;439660;
03-1000002;2,30;Sechskantschraube M4x25 vz;;Hexagon head screw M4x25 galvanised;;Vis à tête hexagonale M4x25 zinguée;;Vite esagonale M4x25 zincata;;Šestrobi vijak M4x25, pocinkan;;Tornillo de cabeza hexagonal M4x25 vz;;;;;;;;;;;Ersatzt;0,00;434801;
03-1000003;0,90;Sechskantschraube M4x35 vz;;;;Vis à tête hexagonale M4x35                                    ;;;;Šestrobi vijak M4x35                                           ;;;;;;;;;;;;;Ersatzt;0,01;439332;
03-1000004;2,30;Sechskantschraube M4x40vz;;Hexagon head screw M4x40 galvanised;;Vis à tête hexagonale M4x40 zinguée;;Vite esagonale M4x40 zincata;;Šestrobi vijak M4x40, pocinkan;;Tornillo hexagonal M4x40 galv.;;;;;;;;;;;Ersatzt;0,00;434802;
03-1000005;2,30;Sechskantschraube M4x50 vz;;Hexagon head screw M4x50 galvanised;;Vis à tête hexagonale M4x50 zinguée;;Vite esagonale M4x50 zincata;;Šestrobi vijak M4x50, pocinkan;;Tornillo hexagonal M4x50 galv.;;;;;;;;;;;Ersatzt;0,01;434803;
03-1000007;2,30;Sechskantschraube M5x12 vz;;Hexagon head screw M5x12 galvanised;;Vis à tête hexagonale M5x12 zinguée;;Vite esagonale M5x12 zincata;;Šestrobi vijak M5x12, pocinkan;;Tornillo hexagonal M5x12 galv.;;;;;;;;;;;Ersatzt;0,00;434804;
03-1000008;2,30;Sechskantschraube M5x16 vz;;Hexagon head screw M5x16 galvanised;;Vis à tête hexagonale M5x16 zinguée;;Vite esagonale M5x16 zincata;;Šestrobi vijak M5x16, pocinkan;;Tornillo de cabeza hexagonal M5x16 vz;;;;;;;;;;;Ersatzt;0,00;434805;
03-1000009;2,30;Sechskantschraube M5x20 vz;;Hexagon head screw M5x20 galvanised;;Vis à tête hexagonale M5x20 zinguée;;Vite esagonale M5x20 zincata;;Šestrobi vijak M5 x 20, pocinkan;;Tornillo hexagonal M5x20 galv.;;;;;;;;;;;Ersatzt;0,00;438638;
03-1000010;2,30;Sechskantschraube M5x40 vz;;Hexagon head screw M5x40 galvanised;;Vis à tête hexagonale M5x40 zinguée;;Vite esagonale M5x40 zincata;;Šestrobi vijak M5x40, pocinkan;;Tornillo de cabeza hexagonal M5x40 vz;;;;;;;;;;;Ersatzt;0,01;434806;
03-1000013;2,30;Sechskantschraube M6x10vz;;Hexagon head screw M6x10 galvanised;;Vis à tête hexagonale M6x10 zinguée;;Vite esagonale M6x10 zincata;;Šestrobi vijak M6x10, pocinkan;;Tornillo hexagonal M6x10 galv.;;;;;;;;;;;Ersatzt;0,01;434807;
03-1000014;2,30;Sechskantschraube M6x12 vz;;Hexagon head screw M6x12 galvanised;;Vis à tête hexagonale M6x12 zinguée;;Vite esagonale M6x12 zincata;;Šestrobi vijak M6x12, pocinkan;;Tornillo hexagonal M6x12 galv.;;;;;;;;;;;Ersatzt;0,01;434808;
03-1000015;2,30;Sechskantschraube M6x16vz;;Hexagon head screw M6x16 galvanised;;Vis à tête hexagonale M6x16 zinguée;;Vite esagonale M6x16 zincata;;Šestrobi vijak M6x16, pocinkan;;Tornillo de cabeza hexagonal M6x16 vz;;;;;;;;;;;Ersatzt;0,01;434809;
03-1000017;2,30;Sechskantschraube M6x20vz;;Hexagon head screw M6x20 galvanised;;Vis à tête hexagonale M6x20 zinguée;;Vite esagonale M6x20 zincata;;Šestrobi vijak M6x20, pocinkan;;Tornillo de cabeza hexagonal M6x20 vz;;;;;;;;;;;Ersatzt;0,01;434810;
03-1000018;2,30;Sechskantschraube M6x25 vz;;Hexagon head screw M6x25 galvanised;;Vis à tête hexagonale M6x25 zinguée;;Vite esagonale M6x25 zincata;;Šestrobi vijak M6x25, pocinkan;;Tornillo hexagonal M6x25 galv.;;;;;;;;;;;Ersatzt;0,01;434811;
03-1000019;2,30;Sechskantschraube M6x30vz;;Hexagon head screw M6x30 galvanised;;Vis à tête hexagonale M6x30 zinguée;;Vite esagonale M6x30 zincata;;Šestrobi vijak M6x30, pocinkan;;Tornillo de cabeza hexagonal M6x30 vz;;;;;;;;;;;Ersatzt;0,01;434812;
03-1000021;2,30;Sechskantschraube M6x35vz;;Hexagon head screw M6x35 galvanised;;Vis à tête hexagonale M6x35 zinguée;;Vite esagonale M6x35 zincata;;Šestrobi vijak M6x35, pocinkan;;Tornillo de cabeza hexagonal M6x35 vz;;;;;;;;;;;Ersatzt;0,01;434813;
