Artikel;Netto;id;Name ES
02-1000059;13,10;266141;Junta cerámica 14x14 mm
02-1000062;15,00;266142;Junta cerámica 15x15mm
02-1000063;8,50;266143;Junta de fibra de vidrio 16x16mm
02-1000064;13,10;266144;Embalaje de fibra cerámica 20x20mm
02-1000069;28,50;266145;Empaquetadura de fibra cerámica 30x30mm
02-1000071;14,80;266146;Empaquetadura perfilada negra ciclón sistema de succión
02-1000072;6,10;266147;Empaquetadura perfilada negro USP revestimiento NUEVO
02-1000073;16,90;266148;Junta perfilada negra estación de transferencia
02-1000074;2,90;266149;Junta perfilada de caucho celular AD8mm con ranura, negra
02-1000075;10,20;266150;Perfil de protección de cantos
02-1000076;7,80;266151;Perfil de protección de cantos
02-1000077;12,50;266152;Pefil de caucho celular Nr. 635 junta de cubierta contendor USV
02-1000089;188,40;266153;Estera de fibra cerámica, s=25,4mm
02-1000090;102,40;266154;Manguito de protección frente al fuego para Manguera DM 32-50mm
02-1000095;2,90;266155;Manguito final blanco 30mm/5m
02-1000096;226,50;266156;Fibra cerámica de papel de 2 mm
02-1000097;4,30;266157;Cinta aislante
02-1000098;3,10;266158;Cinta de teflón 10m
02-1000099;23,20;266159;Cinta adhesiva de aluminio b=50mm
02-1000109;8,70;266160;Puerta de la junta de silicona para BSK Ex, UPS
02-1010004;204,40;266161;Manguera de alta temperatura Ø102mm
02-1010011;6,30;270916;Junta
02-1010016;7,80;270048;Junta 60-120kW
02-1010019;20,60;270800;
02-1010020;27,10;270899;
02-1010023;32,00;270917;
02-2000001;466,60;266162;Manguera ondulada de acero inoxidable DN50, L=2.500mm
02-2000003;8,70;266163;Perfil de obturación en U de silicona
02-2000004;5,90;266164;Manguera de PVC Ø19xØ26mm recipiente de agua l=1500mm
02-2000005;10,30;266165;Perfil de obturación combinado 6003 PVC negro
02-2000006;240,10;266166;Manguera espiral Ø51mm con flexible de cobre
02-2000010;5,20;266167;Manguera PU L=150mm
02-2000011;268,00;266168;
02-2000012;2,90;266169;
03-1000002;0,30;266170;Tornillo de cabeza hexagonal M4x25 vz
03-1000004;0,50;266171;Tornillo hexagonal M4x40 galv.
03-1000005;0,50;266172;Tornillo hexagonal M4x50 galv.
03-1000007;0,30;266173;Tornillo hexagonal M5x12 galv.
03-1000008;0,30;266174;Tornillo de cabeza hexagonal M5x16 vz
03-1000009;0,40;271094;Tornillo hexagonal M5x20 galv.
03-1000010;0,50;266175;Tornillo de cabeza hexagonal M5x40 vz
03-1000013;0,30;266176;Tornillo hexagonal M6x10 galv.
03-1000014;0,30;266177;Tornillo hexagonal M6x12 galv.
03-1000015;0,30;266178;Tornillo de cabeza hexagonal M6x16 vz
03-1000017;0,30;266179;Tornillo de cabeza hexagonal M6x20 vz
03-1000018;0,30;266180;Tornillo hexagonal M6x25 galv.
03-1000019;0,50;266181;Tornillo de cabeza hexagonal M6x30 vz
03-1000021;0,50;266182;Tornillo de cabeza hexagonal M6x35 vz
03-1000023;0,30;266183;Tornillo de cabeza hexagonal M6x40 vz
03-1000024;0,70;266184;Tornillo de cabeza hexagonal M6x50 vz
03-1000026;0,80;270175;Tornillo hexagonal M6x80 galv.
03-1000027;0,80;270208;Tornillo hexagonal M8x12 galv.
03-1000029;0,50;266185;Tornillo de cabeza hexagonal M8x16 vz
03-1000032;0,50;266186;Tornillo de cabeza hexagonal M8x20 vz
03-1000033;2,10;266187;Tornillo hexagonal M8x20
03-1000034;0,50;266188;Tornillo de cabeza hexagonal M8x25 vz
03-1000036;0,70;266189;Tornillo de cabeza hexagonal M8x30 vz
03-1000038;0,70;266190;Tornillo de cabeza hexagonal M8x35 vz
03-1000039;0,70;266191;Tornillo hexagonal M8x40 galv.
03-1000040;0,70;266192;Tornillo de cabeza hexagonal M8x45 vz
03-1000042;1,10;266193;Tornillo hexagonal M8x50 galv.
03-1000045;1,10;266194;Tornillo hexagonal M8x55 galv.
03-1000046;1,30;266195;Tornillo hexagonal M8x60 galv.
03-1000052;1,10;266196;Tornillo de cabeza hexagonal M10x20 vz
03-1000054;1,10;266197;Tornillo de cabeza hexagonal M10x25 vz
03-1000056;1,10;266198;Tornillo de cabeza hexagonal M10x30 vz
03-1000058;1,30;266199;Tornillo de cabeza hexagonal M10x35 vz
03-1000059;1,30;266200;Tornillo de cabeza hexagonal M10x40 vz
03-1000062;4,30;266201;Tornillo hexagonal M10x45 galv.
03-1000063;0,80;266202;Tornillo hexagonal M10x50 galv.
03-1000067;2,10;266203;Tornillo hexagonal M10x70 galv.
03-1000068;2,10;266204;Tornillo hexagonal M10x70 galv.
03-1000069;1,90;266205;Tornillo hexagonal M10x80 galv.
03-1000071;2,50;266206;Tornillo de cabeza hexagonal M10x85 vz
03-1000072;2,40;270206;Tornillo hexagonal M10x110 galv.
03-1000073;4,10;266207;Tornillo de cabeza hexagonal M12x110 vz
03-1000077;1,50;271000;Tornillo hexagonal M12x25 galv.
03-1000080;3,50;266208;Tornillo hexagonal M12x30 galv.
03-1000085;2,30;266209;Tornillo hexagonal M12x55 galv.
03-1000086;2,10;266210;Tornillo hexagonal M12x60 galv.
03-1000089;2,40;270176;Tornillo hexagonal M14x30 galv.
03-1000090;6,60;272584;Tornillo hexagonal M14x60 galv.
03-1000091;6,70;266211;Tornillo de cabeza hexagonal M16x100 vz
03-1000092;5,70;266212;Tornillo hexagonal M16x130 galv.
03-1000093;5,00;266213;Tornillo de cabeza hexagonal M16x65 vz
03-1000098;0,30;266214;Tornillo cilíndrico M4x20 galv.
03-1000100;0,30;266215;Tornillo de cabeza cilíndrica M5x12 vz
03-1000101;0,30;266216;Tornillo de cabeza cilíndrica M6x16 vz
03-1000102;0,30;266217;Tornillo de cabeza cilíndrica M6x12 vz
03-1000105;2,40;272595;
03-1000107;0,70;266218;Tornillo cilíndrico M8x20 galv.
03-1000108;0,50;266219;Tornillo cilíndrico M8x25 galv.
03-1000109;0,70;266220;Tornillo cilíndrico M8x30 galv.
03-1000110;1,10;266221;Tornillo de cabeza cilíndrica M8x40 vz
03-1000112;1,30;266222;Tornillo cilíndrico M8x80 galv.
03-1000113;2,10;266223;Tornillo de cabeza cilíndrica M8x90 vz
03-1000116;4,30;266224;Tornillo cilíndrico M10x80
03-1000119;0,30;266225;Tornillo de cabeza avellanada M4x12 vz 
03-1000122;0,30;266226;Tornillo de cabeza avellanada M4x10 vz 
03-1000128;0,30;266227;Tornillo avellanado M5x16 galv.
03-1000131;0,50;266228;Tornillo hexagonal M6x12 galv.
03-1000132;0,50;266229;Tornillo de cabeza avellanada M6x16 vz 
03-1000133;1,30;266230;Tornillo avellanado M6x20 galv.
03-1000134;1,30;266231;Tornillo de cabeza avellanada M6x20 vz Niro
03-1000136;1,70;266232;Tornillo de cabeza avellanada M8x20 vz
03-1000139;1,10;266233;Tornillo avellanado M8x30 galv.
03-1000146;0,30;266234;Tornillo autorroscante 4,2x13 vz
03-1000147;1,10;266235;Tornillo autorroscante 5,5x19 vz
03-1000148;0,50;266236;Tornillo autorroscante 4,2x13 vz
03-1000149;0,30;266237;Tornillos de 3,5 x13 lente vz
03-1000152;1,50;266238;Tornillo autorroscante 5,5x16 vz
03-1000155;1,10;266239;Tornillo perforador Ø5,5x25 galv.
03-1000156;0,50;266240;Tornillo autorroscante alomado 4.2x32mm
03-1000159;1,10;266241;Tornillo alomado M5x12
03-1000160;0,30;266242;Tornillo avellanado autorroscante 2,9x13mm
03-1000161;0,30;266243;Tornillo perforador Ø4,2x19 galv.
03-1000166;0,30;266244;Tornillo de chapa 2,9x6,5 vz
03-1000170;0,30;266245;Tornillo roscachapa Ø4,2x19
03-1000172;0,30;266246;Tornillo roscachapa Ø2,9x25 galv.
03-1000173;0,30;266247;Tornillo roscachapa avellanado 3,5x9,5 galv.
03-1000174;0,30;266248;Tornillo roscachapa avellanado 3,5x13 galv.
03-1000175;0,40;266249;Tornillo roscachapa avellanado 2,9x16 galv.
03-1000176;0,30;266250;Tornillo alomado M2,5 x 5 A2 para tubo de encendido USP
03-1000179;0,30;266251;Tornillo alomado M4x8 galv.
03-1000180;0,50;266252;Tornillo alomado M5x16 vz
03-1000182;0,30;266253;Tornillo alomado M2,5x5 galv.
03-1000184;0,30;266254;Tornillo alomado M4x12 vz
03-1000185;0,30;266255;Tornillo alomado M4x6 vz
03-1000187;0,30;266256;Tornillo alomado M4x50 galv.
03-1000188;0,30;266257;Tornillo alomado M4x30 vz
03-1000191;0,30;266258;Tornillo con tanura de rosca
03-1000195;0,30;266259;Tornillo autorroscante M5x16
03-1000200;0,30;266260;Tornillo para tablero de viruta TX20 4x40 galv. amarillo
03-1000204;0,50;266261;Tornillo con placa de sujección 5x60 vz
03-1000205;1,10;270717;Tornillo para tablero de viruta 6x30 amarillo
03-1000212;1,10;266262;Tornillo para tablero de viruta 6x40 galv. amarillo
03-1000216;0,30;266263;Tuerca de cabeza hexagonal M4 vz
03-1000217;0,40;266264;Tuerca de seguridad M4 galv., baja
03-1000219;0,30;266265;Tuerca de cabeza hexagonal M4 vz
03-1000223;0,30;266266;Tuerca de cabeza hexagonal M5 vz
03-1000224;0,30;266267;Tuerca de cabeza hexagonal M5 vz
03-1000225;1,30;266268;Tuerca de aletas M5 galv.
03-1000228;0,30;266269;Tuerca de cabeza hexagonal M6 vz
03-1000229;0,30;266270;Tuerca de cabeza hexagonal M6 vz
03-1000230;3,10;266271;Tuerca de mariposa M6 vz
03-1000232;0,20;266272;Tuerca hexagonal M6 galv.
03-1000234;0,50;266273;Tuerca hexagonal M6 A2
03-1000236;0,30;266274;Tuerca de cabeza hexagonal M8 vz
03-1000237;0,30;266275;Tuerca de cabeza hexagonal M8 vz
03-1000238;0,30;266276;Tuerca de cabeza hexagonal M8 vz
03-1000239;8,20;266277;Tuerca de mariposa M8 vz
03-1000241;0,30;266278;Tuerca hexagonal abridada M8
03-1000243;0,50;266279;Tuerca hexagonal M8 galv.
03-1000251;1,10;266280;Tuerca de sombrerete hexagonal M8 galv.
03-1000253;3,90;266281;Tuerca de remache ciego M8 acero galv. hexagonal
03-1000254;0,30;266282;Tuerca de cabeza hexagonal M10 vz
03-1000255;0,50;266283;Tuerca de cabeza hexagonal M10 vz
03-1000263;0,50;266284;Tuerca de cabeza hexagonal M12 vz
03-1000264;0,70;266285;Tuerca de cabeza hexagonal M12 vz
03-1000269;1,30;266286;Tuerca hexagonal M12 galv.
03-1000270;0,40;270480;Tuerca hexagonal abridada M12
03-1000271;6,60;271058;
03-1000272;1,60;272585;Tuerca de seguridad M14 galv., baja
03-1000273;1,10;266287;Tuerca hexagonal M16 galv.
03-1000280;0,30;266288;Arandela M4 vz
03-1000281;0,30;266289;Arandela M4 vz
03-1000282;0,30;266290;Arandela elástica M4 galv.
03-1000284;0,30;266291;Arandela M5 galv.
03-1000285;0,30;266292;Arandela M5x1,2 galv.
03-1000286;0,30;266293;Arandela M6 vz
03-1000287;0,30;266294;Arandela M6 vz ID6.4 x  AD18.0, s=1.6mm
03-1000289;0,30;266295;Arandela elástica M6 galv.
03-1000290;0,30;266296;Arandela de gran diámetro Ø6/Ø25/1,8 galv.
03-1000293;1,30;266297;Conector de bornes d=7mm (Ulmer Teilenr.: E03658)
03-1000295;0,30;266298;Arandela M8 vz
03-1000296;0,30;266299;Arandela M8 vz
03-1000298;0,30;266300;Arandela elástica M8 vz
03-1000299;0,70;266301;Arandela de gran diámetro Ø8/Ø30x2
03-1000300;1,30;266302;Arandela de gran diámetro Ø9/Ø40x2,5
03-1000301;0,50;266303;Arandela de ajuste Ø8/Ø14 s=0,5mm
03-1000303;0,30;266304;Arandela M10 vz
03-1000304;0,50;266305;Arandela M10 vz
03-1000305;1,10;266306;Arandela de gran diámetro Ø10/Ø35x2,5
03-1000306;0,30;266307;Arandela elástica M10 vz
03-1000308;0,30;266308;Disco guardabarros M10 quemador de pellets
03-1000310;0,30;266309;Arandela M12 vz
03-1000311;1,10;266310;Arandela M12x3 galv.,
03-1000312;0,30;266311;Arandela elástica M12 vz
03-1000316;0,50;266312;Arandela M14x3 galv.,
03-1000317;0,40;270177;Arandela elástica M14 galv.
03-1000319;0,50;266313;Arandela M16 vz
03-1000320;1,90;266314;Arandela M16x3 galv.
03-1000322;0,50;266315;Arandela elástica M16 galv.
03-1000326;1,30;266316;Arandela de ajuste Ø20/Ø28 s=1mm
03-1000327;1,70;266317;Arandela Ø21/Ø32  vz.   s=4mm
03-1000330;0,30;266318;Anillo de seguridad 8x0,8
03-1000332;1,10;272561;Anillo de seguridad Ø15x1
03-1000334;0,30;266319;Anillo de seguridad 20x1,2
03-1000336;3,90;266320;Anillo de seguridad Ø80x2,5
03-1000338;1,10;266321;Chaveta 5x5x22
03-1000339;1,10;266322;Chaveta 5x5x25
03-1000340;1,70;266323;Resorte de ajuste 5x5x50
03-1000341;1,90;266324;Chaveta 6x6x25
03-1000342;2,80;266325;Chaveta 8x7x70
03-1000343;1,50;266326;Chaveta 6x6x50
03-1000344;1,50;266327;Chaveta 6x6x45
03-1000346;1,80;266328;Resorte de ajuste 8x7x40
03-1000347;1,70;266329;Chaveta 8x7x50
03-1000349;2,20;272583;Resorte de ajuste 8x7x25
03-1000350;3,70;266330;Chaveta 8x7x70
03-1000351;2,10;266331;Chaveta 10x8x36
03-1000352;3,30;266332;Chaveta 10x8x40
03-1000354;2,80;266333;Chaveta 10x8x80
03-1000358;9,80;266334;Chaveta 12x8x125
03-1000359;4,80;266335;Resorte de ajuste 12x8x56
03-1000362;7,40;266336;Tornillo de aletas M8x45 galv.
03-1000363;3,90;266337;Tornillo de orejetas  M5x16 vz
03-1000364;5,90;266338;Tornillo de orejetas  M8x20 vz
03-1000365;2,10;266339;Tornillo de aletas M4x10 galv.
03-1000367;5,30;266340;Tornillo de aletas M8x35 galv.
03-1000378;24,40;266341;Tornillo con argolla M8x100 galv.
03-1000382;13,40;266342;Remache 6x20, A2
03-1000383;1,50;266343;Remache semirredondo Ø7x16, acero crudo
03-1000388;0,20;269929;
03-1000390;1,10;266344;Tornillo prisionero M5x5
03-1000393;0,30;266345;Tornillo prisionero M6x10
03-1000395;0,50;266346;Tornillo prisionero M6x6
03-1000396;0,60;269959;Tornillo prisionero M6x12
03-1000400;0,50;266347;Tornillo prisionero M8x8
03-1000401;0,50;266348;Tornillo prisionero M8x12
03-1000402;0,50;266349;Tornillo prisionero M8x16
03-1000403;0,30;266350;Tornillo prisionero M8x10
03-1000405;8,50;266351;Tornillo prisionero M8 vz
03-1000406;3,50;266352;Tornillo prisionero M8 vz I=110mm, 8.8
03-1000407;3,20;266353;Vástago roscado M8 vz l=120mm , 8.8
03-1000411;9,80;266354;Vástago roscado M6x1000 mm
03-1000412;20,40;266355;Vástago roscado M10 vz
03-1000414;19,40;266356;Vástago roscado M12 vz DIN975, 8.8
03-1000416;11,30;266357;Vástago roscado M16x1000 mm
03-1000422;5,00;266358;Espárrago roscado M10x45
03-1000424;2,80;266359;Racor cónico de engrase M6 vz recto
03-1000425;8,00;266360;Racor cónico de engrase M6 vz 45 Grad
03-1000426;4,50;266361;Racor cónico de engrase M6 vz 90 Grad
03-1000435;1,30;266362;Remache ciego 3x10 DIN7337A, San galvanizado
03-1000436;1,30;266363;
03-1000437;0,50;266364;Remache ciego Ø4x8 forma A
03-1000438;1,30;266365;Remache ciego Ø4x12 forma A
03-1000440;15,20;266366;Tornillo de ajuste THC35 M10x30
03-1000442;14,80;266367;Pie articulado M16, Ø60x68
03-1000446;0,30;266368;Pasador de sujeción Ø4x22
03-1000447;1,50;266369;Pasador cilíndrico Ø10m6, l=20 mm con rosca interior
03-1000448;0,30;266370;Pasador 6x22 DIN1481
03-1000450;0,80;270309;
03-1000452;1,70;266371;Tornillo bastidor 8x120 vz
03-1000454;1,10;266372;Tornillo bastidor 8x70 vz
03-1000463;16,60;266373;Bulón con cabeza12x40 vz
03-1000465;19,90;266374;Bulón con cabeza16x75 vz
03-1000467;1,10;266375;Pasador de aletas 3,2x20 de acero inoxidable
03-1000470;0,30;266376;Pasador Ø4x32 galv.
03-1000472;6,20;266377;Muelle pasado Ø2,8 x 61mm acero fino 1.4310
03-1000473;0,50;266378;Taco Fischer S6 Ø6mm
03-1000474;0,70;266379;Taco Fischer S8 Ø8mm
03-1000475;1,30;266380;Taco Fischer S10 Ø10mm
03-1000476;1,50;266381;Taco TOX 10/62
03-1000486;20,90;266382;Set de tornillería RA USV transición hacia arriba/abajo
03-1000487;18,30;266383;Set de tornillería RA USV Tornillería
03-1000489;9,50;266384;Juego tornillos sist. alim. USV caja rueda cadena doble alim.
03-1000490;1,20;266385;Set de tornillería extracción ceniza USP
03-1000491;24,90;266386;Set de tornillería RA USV accionamiento
03-1000492;23,60;266387;Set de tornillería RA USV caja de engranaje
03-1000493;27,70;266388;Juego de tornillos TDS150, revestimiento
03-1000494;23,30;266389;Set de tornillería TDS armazón
03-1000496;56,80;266390;
03-1000498;13,00;266391;Set de tornillería SHV
03-1000500;30,10;266392;Juego de tornillos del apoyo intermedio del sinfín de carga
03-1000501;56,50;266393;Set de tornillería  para sinfín de llenado de silo
03-1000502;13,20;266394;Juego de tornillos para prolongación de canal
03-1000503;14,60;266395;Juego de tornillos cabeza sistema de aspiración
03-1000504;14,40;266396;Set de tornillería sistema alimentación USP
03-1000505;9,20;266397;Set de tornillería sinfín ascendente
03-1000507;29,50;266398;Set de tornillería agitador USP
03-1000509;1,80;266399;Set de tornillería para guías puerta
03-1000511;1,30;266400;Set de tornillería para sensor
03-1000514;3,50;266401;Perno de ancalje M10x85
03-1000515;9,60;266402;Perno de anclaje M12x105
03-1000539;1,10;266403;Tornillo  M8 x 100
03-1000541;6,70;266404;Abrazadera de tubo Hilti MP-LHI 1 1/2 Ø48-52mm,
03-1000542;20,70;266405;Abrazadera de tubo Hilti MPN-RC 101.6 Ø99-104mm   M8/M10
03-1000543;7,00;266406;Abrazadera de tubo Hilti MP-LHI 2" Ø60-64mm 
03-1000545;33,50;266407;Carril DIN de 75 mm l = 3m, manguera para el caso de pellets
03-1000546;8,50;266408;Tornillo prisionero M16x100 S ranurado con pivote compresor
03-1000547;12,90;266409;Pieza de presión D=40mm para M16, baja
03-1000548;109,10;266410;Unidad de apoyo abridada de cuatro agujeros UCF306
03-1000549;19,60;266411;Cojinete de 4 agujerosUCF207, Ø35mm sinfín alimentación placas
03-1000551;44,10;266412;Cojinete de 4 agujerosUCF210, Ø50mm sinfín de llenado
03-1000554;8,60;266413;Cojinete de 2 agujerosUCFL202, Ø15mm Obturador de fuego USP
03-1000555;8,20;266414;Cojinete de 2 agujerosUCFL203, Ø17mm USPV
03-1000556;17,00;266415;Cojinete de 2 agujerosTR UCFL204, Ø20mm
03-1000557;31,20;266416;Cojinete de 2 agujerosUCFL204  Ø20mm  RA USP
03-1000558;7,00;266417;Cojinete de 2 agujerosØ20mm Blechgeh. USP canal ascendente
03-1000559;8,90;266418;Cojinete de 2 agujerosUCFL205, Ø25mm Sinfín de ceniza
03-1000560;10,40;266419;Unidad de apoyo abridada de dos agujeros Ø30mm chapa
03-1000564;79,00;266420;Unidad de soporte recto UCP209 Ø45mm sinfín de carga
03-1000567;10,30;266421;Rodamiento de bolas 608.2RS
03-1000568;7,00;266422;Rodamiento de bolas 6302-2RS Ø15mm placas Excenter
03-1000569;4,80;266423;Rodamiento de bolas 6004-2RS1  USPV, Ø20mm
03-1000571;28,60;266424;Rodamiento de bolas 6007-2RSR Ø35mm
03-1000572;14,20;266425;Rodamiento ranurado de bolas 6208-2RS Ø40mm USP-RÜ
03-1000576;2,60;266426;Manguito Glycodur 8x6x8mm compuerta antiincendio palanca US+USP
03-1000577;6,20;266427;Casquillo de collar rodam. deslizamiento ID10/AD14 USP ceniza
03-1000582;4,50;266428;Casquillo de collar de Glycodur F turbulador USV
03-1000585;3,80;266429;Casquillo de collarín de Glycodur F
03-1000586;7,80;266430;Anillo obturador VA 80 NBR V-Ring obturador de fuego USP
03-1000587;2,10;266431;Anillo - O Ø37x5 NBR 70 Shore RÜ USP
03-1000588;9,70;266432;Anillo - O Ø63x5 Zyklon
03-1000589;12,30;266433;Rueda con reborde Ø50/Ø62-32mm
03-1000590;6,60;266434;Rueda Ø125mm negro
03-1000591;5,90;266435;Tapa Starlock 12 mm
03-1000592;5,90;266436;Empuñadura en estrella con casquillo de acero M12 cont. ceniza
03-1000593;1,70;266437;Empuñadura en estrella con casquillo de acero M8 cont. ceniza
03-1000594;3,50;266438;Empuñadura en estrella con orificio pasante roscado M8
03-1000596;2,50;266439;Tornillo empuñadura en estrella M10x15 puerta de caldera US,
03-1000598;8,50;266440;Abrazadera con casquillo M8 L=130mm
03-1000600;5,20;266441;Empuñadura de puente 130 160x28x10mm cont. almacenamiento
03-1000604;6,30;266442;Empuñadura trapezoidal de trinquete
03-1000605;2,90;266443;Pestillo magnético negro
03-1000606;1,80;266444;Contra pieza rígida pestillo magnético SHV
03-1000607;4,50;266445;Pestillo Messing 50mm Puerta de la caldera exterior US
03-1000608;16,40;266446;Cierre excéntrico AH27 USV set contenedor
03-1000613;7,30;266447;Cierre acodado con gancho de resortes
03-1000614;14,90;266448;Cierre acodado con gancho
03-1000615;0,50;266449;CLips Art. 13136
03-1000617;4,00;266450;Contrapieza de encaje
03-1000618;2,90;266451;Cierre rápido de cuarto de vuelta
03-1000619;0,60;266452;Anillo de seguridad a presión
03-1000624;5,20;266453;Klappschanier
03-1000625;4,30;266454;Bisagra combinada de plástico 60
03-1000626;4,30;266455;Bisagra de plástico Combi 60
03-1000627;4,90;266456;Visagra de plástico 20
03-1000628;4,70;266457;Visagra Plexiglas SHV negra
03-1000629;38,10;270370;Muelle de tracción der. d=11mm D=52mm para acero
03-1000630;1,40;266458;Muelle para lana de vidrio para aislamiento de la caldera
03-1000631;0,80;266459;Muelle de compresión d=1,25 dm=12,5 L=27 cont. ceniza
03-1000636;1,30;266460;Resorte de presión d=1,6 dm=12,5 L=24 sobrell.
03-1000642;4,30;266462;Cadena norm. s=4mm, L=aprox. 735mm comp. ceniza USP 25-30
03-1000643;1,10;266463;Unión cizalla 223 Gr. 60 compactación ceniza USP 10-30
03-1000645;1,10;266464;Abrazadera de manguera Ø16-27mm vz
03-1000646;1,30;266465;Abrazadera de manguera Ø32-50mm vz
03-1000647;3,10;266466;Abrazadera de manguera Ø40-60mm vz
03-1000648;1,40;266467;Abrazadera de manguera Ø50-70mm vz
03-1000649;1,70;266468;Abrazadera de mangueraØ70-90mm vz conexión RA - USP quemador
03-1000650;1,90;266469;Abrazadera de manguera Ø90-110mm galv.
03-1000655;11,30;266470;Abrazadera Ø150 vz
03-1000656;45,40;266471;Abrazadera ancha MD65 L=100mm incl. Manguito de goma
03-1000657;3,80;266472;Articulación en codo CS 13 M8 vz USZI
03-1000658;20,30;266473;Cabeza articulada GIR 8 DO USD extracción de ceniza
03-1000660;10,00;270178;Cabezal de horquilla G 12 x 24, M12 galv.
03-1000661;2,10;266474;Cabeza articulada GIR 8 DO USD extracción de ceniza
03-1000662;2,80;266475;Junta Klingerit 1" para aumento de la temperatura de retorno
03-1000664;7,60;266476;Sellado paracojinete sinfín caldera
03-1000665;4,40;266477;Disco amortiguador Ø170xØ105x4 motor reductor sinfín stocker
03-1000666;2,50;266478;Gomas de apoyo 100x100x8 rot
03-1000667;1,40;266479;Gomas de apoyo 100x50x8 rot
03-1000669;8,20;266480;Placa de goma Ø170mm s=4mm compuerta antiincendios hasta 2000
03-1000672;1,80;266481;Anillo obtur. con labio antipolvo para motor reductor plano ABM
03-1000673;7,50;266482;Sujetador robalon  USZI + USV sinfín de la caldera
03-1000675;0,30;266483;Tapón de sombrero H13 transparente
03-1000678;0,70;266484;Tapón de sombrero H39 transparente
03-1000679;0,20;266485;Cubierta PVC negra Ø10mm
03-1000682;2,20;266486;Cubierta protección tubo  Ø95mm amarillo agitador USP
03-1000684;1,80;266487;Cubierta protección tubo  Ø82,5mm amarillo canal de aspiración
03-1000685;2,20;266488;Manguito de transición PVC negro AD60 x DI45mm
03-1000686;0,60;266489;Manguito de transición de membrana
03-1000688;0,80;266490;Manguito de transición de membrana negro Ø38/Ø25,5mm
03-1000689;1,50;266491;Manguito de paso PVC negroAD46 x ID32mm
03-1000691;1,50;266492;Manguito de transición PVC negro AD44,5 x ID25,5mm
03-1000692;58,40;266493;Muelle de compresión de gas 300N carrera=200mm dep. pellets
03-1000694;13,30;266494;Anillo sellado eje ABM WDR 25x42x7 Viton
03-1000695;19,90;266495;Anillo sellado eje ABM WDR 20x32x7 Viton
03-1000696;8,20;266496;Anillo sellado eje ABM WDR 30x52x7
03-1000697;20,50;266497;Anillo sellado eje ABM WDR 30x47x7
03-1000698;4,00;266498;Anillo sellado eje ABM WDR 35x62x7
03-1000699;14,40;266499;Anillo sellado eje ABM WDR 45x80x10
