Artikel;Netto;Name DE;Name EN;Name ES;id
06-1000003;142,40;Deckel Motorabdeckung 1,25x152,5x190;Cover motor cover 1.25x152.5x190;Cubierta motor 1,25x152,5x190��� RAL 1007;352679
06-1000006;367,90;Verkleidung R�ckwand US V 80-1;Casing rear wall US V 80-1;Revestimiento pared trasera US V 80-100kW, a partir 07/2003;352680
06-1000008;350,10;Verkleidung Brennerseitig US V;Casing burner side US V;Revestimiento zona quemador US V 80-100KW, a partir 07/2003;352681
06-1000011;5,80;Endschalterhalter Aschebeh. RAL 6005;Limit switch holder ash box RAL 6005                           ;Sujecci�n interruptor fin de carrera sensor ceniza RAL 6005;352682
06-1000016;391,50;Verkleidung Ascheseitig;Casing ash side;Revestimiento zona contenedor de cenizas RAL 6005��� 80-100 kW;352683
06-1000019;533,90;Verkleidung vorne unten;Casing front bottom;Revestimiento frontal inferior US V 80-100KW, a partir 07/2003;352684
06-1000022;633,50;Verkleidung Vorderwand oben US V 80-100K;Casing front wall top USV 80-100kW;Revestimiento sup. pared delantera US V 80-100K;352685
06-1000026;392,90;Verkleidung Deckel US V 40-100kW, ab 07/2003;Casing cover USV 40-100kW from 7/2003;Revestimiento cubierta US V 40-100kW, a partir 07/2003;352686
06-1000032;6,30;Winkel N�herungsschalter 1,25x36x76;Bracket, proximity switch 1.25x36x76                           ;�ngulo para detector de proximidad 1,25x36x76;352688
06-1000033;16,90;Winkel rechts;Angle bracket right;�ngulo recto 855x92, 5x1, 25;352689
06-1000034;16,90;Winkel links;Angle bracket left;�ngulo izquierdo 855x92, 5x1, 25mm;352690
06-1000036;4,30;Verkleidung T�rscharnier 116x25x5mm;Casing door hinge 116x25x5mm;Revestimiento bisagra de puerta 116x25x5mm;352691
06-1000040;269,50;Verkleidung Vorderwand oben US 15-25kW,;Casing front wall above USV 15-25kW;Revestimiento pared frontal superior US 15-25kW, RAL 6005;352692
06-1000043;306,10;Verkleidung R�ckwand;Casing rear wall;Revestimiento pared trasera US 15-25kW, RAL 6005;352693
06-1000047;299,20;Verkleidung Seitenwand Innen;Casing side wall inside;Revestimiento interior para pared lateral;352694
06-1000052;156,10;Verkleidung Deckel RAL1007 US 15-25kW inkl. Dichtband;Casing top cover RAL 1007 USV 15-25kW incl. sealing strip;Revestimiento para tapa RAL1007 US 15-25kW con cinta sellante;352695
06-1000059;494,70;Verkleidung T�r au�en US V 15-25kW, RAL;Casing door outside US V 15-25kW, RAL;Revestimiento puerta exterior US V 15-25kW, RAL 1007;352696
06-1000064;327,40;Seitenwand Ascheseitig;Side wall ash-sided;Pared lateral lado de ceniza;352697
06-1000065;56,20;Vorderwand unten;Front wall below;Pared frontal inferior US 15-25kW con extracci�n de ceniza;352698
06-1000080;530,30;Verkleidung T�r Komplett;Casing door complete;Revestimiento puerta completo US V 40-100kW, RAL 1007;352699
06-1000084;334,60;Verkleidung Vorderwand oben;Casing front wall top;Revestimiento pared frontal superior US V 40-60kW, RAL 6005;352700
06-1000088;530,30;Verkleidung vorne unten;Casing front bottom;Revestimiento frontal inferior US V 40-60kW, RAL 6005;352701
06-1000089;370,20;Verkleidung Seitenwand;Casing side wall;Revestimiento pared lateral exterior US V 40-60kW, RAL 6005;352702
06-1000091;328,90;Verkleidung Seitenwand innen;Casing side wall inside;Revestimiento pared lateral interior US V 40-60kW, RAL 6005;352703
06-1000092;377,30;Verkleidung R�ckwand;Casing rear wall;Revestimiento pared trasera US V 40-60kW,� RAL 6005;352704
06-1000093;8,60;Verkleidung Isolierabdeckung RAL 6005;Casing insulation cover RAL 6005 ;Revestimiento cubierta aislada RAL 6005;352705
06-1000097;3,20;Distanzhalter L=132mm;Spacer l=132mm;Apoyo distanciamiento L=132mm,�� galvanizado;352706
06-1000102;19,30;Kanister u. Schraubverschlu� 410x220x17;Canister and screw top 410x220x170 ;Recipiente y cierre atornillado 410x220x170;352707
06-1000107;142,40;Seitenwand USZI Zwischenverkl. RAL 1007,;Side wall USZI intermediate casing RAL 1007,;Pared lateral USZI revestimiento intermedio RAL 1007,;352708
06-1000108;167,30;Seitenwand USD Zwischenverkleidung;Side wall USD intermediate casing;Pared lateral USD revestimiento intermedio;352709
06-1000110;245,70;Seitendeckel RAL 1007;side cover RAL 1007                                            ;Cubierta lateral RAL 1007;352710
06-1000113;316,80;Kanisterhalterung RAL1007;canister clamp RAL 1007                                        ;Apoyo contenedor agua de emergencia RAL1007;352711
06-1000118;309,80;Zwischenverkleidung hinten USV Comfort;Intermediate casing rear USV Comfort;Revestimiento intermedio posterior USV Comfort 3.xx;352712
06-1000130;277,70;Zwischenverkleidung Comfort USV, Comfort;Intermediate casing Comfort USV, Comfort;Revestimiento intermedio Comfort USV, Comfort 3.xx;352713
06-1000131;199,30;Platinenhalterung unlackiert;circuit board clamp unpainted                                  ;Sujecci�n placa base unlacado;352714
06-1000133;252,70;Zwischenverkleidung;intermediate casing                                            ;Revestimiento intermedio;352715
06-1000142;1,10;Isolierscheibe Kesselverkleid.;Insulation disc for boiler casing;Disco aislante revestimiento caldera;352716
06-1000148;44,30;Steuerungsabdeckung USP USP 10-20kW Plexiglas;Control unit cover USP USP 10-20kW Plexiglas;Cubierta de la zona de la placa base USP 10-20kW Plexiglas;352717
06-1000152;241,50;Konsole KBG f�r alte Verkleid. 1,25x205;Bracket KBG for old casing 1.25x205x238  RAL 6005;Consola KBG para revestimiento antiguo 1,25x205;352718
06-1000153;107,70;T�rverkleidung USP 10-20kW RAL6005 mit A;Door casing USP 10-20kW RAL 6005 ash removal;Revestimiento de puerta USP 10-20kW RAL6005 con A;352719
06-1000208;163,10;Verkleidung Steuerung 1,25x517x706,7  RA;Casing cover 1.25x560x883.1 FE;Revestimiento control 1,25x560x883,1� RAL 6005;352720
06-1000210;187,90;Verkleidung hinten;Rear casing;Revestimiento posterior caldera USP 10-20kW;352721
06-1000219;325,50;Seitenverkleidung Brenner RAL 1007, USP10-20kW;Side casing burner RAL 1007, USP10-20kW;Revestimiento lateral quemador RAL 1007, USP10-20kW;352722
06-1000222;150,40;Verkleidungsdeckel RAL 6005, USP 10-20kW;Casing cover RAL 6005, USP 10-20kW;Revestimientos cubierta RAL 6005, USP 10-20kW;352723
06-1000232;6,50;Scharnier Steuerungsabdeckung 8x8x27   g;Hinge control unit cover 8x8x27   ;Bisagra cubierta de control 8x8x27�� galvanizado;352724
06-1000242;38,60;Brennerabdeckung links, Variante: Designverkleidung;Burner cover left, option:  designer casing;Cubierta de quemador izq., variante: revestimiento de dise�o;352725
06-1000244;52,90;Brennerabdeckung rechts, Variante: Designverkleidung;Burner cover right, option: designer casing;Cubierta de quemador der., variante: revestimiento de dise�o;352726
06-1000250;203,00;Steuerungskasten;Control cabinet;Caja de control RAL6005;352727
06-1000253;76,70;Abdeckblech 1,25x445x518   RAL 6005;Cover plate 1.25x366.60x644 RAL 6005;Chapa de cubrici�n 1,25x445x518�� RAL 6005;352728
06-1000258;90,80;Brennerverkleidung links Vollverkleidung;Burner cover left - full casing;Revestimiento quemador izquierda Revestimiento completo;352729
06-1000262;46,70;Deckel mit Bohrung Vollverkleidung Saugb;Cover with drill hole full casing suction container;Tapa con agujero revestimiento completo aspir.;352731
06-1000264;38,20;Deckel OHNE Bohrung Vollverkleidung;Cover WITHOUT drill hole full casing;Cubierta SIN taladro Revestimiento completo;352732
06-1000267;34,60;Steuerungsabdeckung USP USP 25-30kW Plex;Control unit cover USP USP 25-30kW Plexiglas;Cubierta de la zona de control USP 25-30kW Plexiglas;352733
06-1000269;218,70;T�rverkleidung 1,25x384,40x620,90;Door casing 1.25x384.40x620.90;Revestimiento de puerta 1,25x384,40x620,90;352734
06-1000297;333,40;Verkleidung hinten;Rear casing;Revestimiento posterior USP 25-30kW;352735
06-1000300;549,80;Seitenverkleidung;Side casing;Revestimiento lateral RAL 1007,� USP 25-30kW;352736
06-1000305;411,80;Seitenverkleidung Brenner;Side casing burner;Revestimiento lateral quemador RAL 1007;352737
06-1000309;319,30;Verkleidungsdeckel;Casing cover;Cubierta revestimiento RAL 6005,� USP 25-30kW;352738
06-1000313;180,90;Steuerungskasten;Control cabinet;Caja de control RAL6005;352739
06-1000316;86,30;Abdeckblech 1,25x445x552   RAL 6005;Cover plate 1.25x445x552 RAL 6005;Chapa protectora 1,25 x 445 x 552 RAL 6005;352740
06-1000346;24,30;Isolierung Verkleidungst�r u. Glasseide;Insulation, casing door and glass fibre;Aislamiento para puerta de revestimiento y seda de vidrio;352741
06-1000347;19,60;Isolierung Mittelteil unten Glasseide S1;Insulation, lower middle section, glass fibre S1               ;Aislamiento pieza central inferior seda de vidrio S1;352742
06-1000349;65,40;Isolierung Verkleidungsdeckel einseitig;Insulation casing cover single-sided;Aislamiento para tapa de revestimiento unilateral;352743
06-1000350;36,40;Isolierung Mittelteil einseitig Glasseid;Insulation, middle section, single-sided glass fibre           ;Aislamiento parte central unilateral seda de vidrio;352744
06-1000352;9,00;Isolierung Revisions�ffnung;Insulation inspection opening single-sided glass fibre;Aislamiento para abertura de inspecci�n unilateral;352745
06-1000360;3,80;Scharnierblech Verkleidung TDS 4x30x48mm;Hinge plate casing TDS 4x30x48;Chapa de bisagra para revestimiento TDS 4x30x48mm;352747
06-1000367;33,40;Kabelkanal 1 Verkleidung TDS 1,25x196,20;Cable duct 1, casing TDS 1.25x196.20;Canal de cables 1 revestimiento TDS 1,25x196,20;352748
06-1000370;3,80;D�mmplatte 4x54x54mm, TDS Verkleidung;Insulating plate 4x54x54mm, TDS casing;Placa insonorizante 4x54x54�mm, revestimiento TDS;352749
06-1000374;3.368,70;Verkleidungsgarnitur kpl. TDS130/150kW;Full casing set TDS130/150kW;Guarnecido de revestimiento cpl. TDS130/150kW;352751
06-1000379;1.305,70;Ger�st und Schienensystem TDS 150kW;Frame and rail system TDS 150kW;Estructura y sistema de rieles TDS 150kW;352752
06-1000387;42,90;Kanisterhalterung 5x220x256,3;Canister clamp 5x220x256.3;Soporte para contenedor 5x220x256,3;352753
06-1000388;15,50;Saugzugst�tze 5x79,7x399,8;Suction connector support 5x79.7x399.8;Soporte para tiro de succi�n 5x79,7x399,8;352754
06-1000393;82,60;Seitenverkleidung links oben Nietzeichnu;Side casing top left ;Esquema remache revestimiento lateral sup. izq.;352755
06-1000408;12,00;Blinddeckel Wasserbeh�lter 1,25x242x242;Blind cover water container 1.25x242x242;Cubierta ciega contenedor de agua 1,25x242x242�� RAL 1007;352756
06-1000410;12,00;Abdeckung 1,25x267x350;Cover 1.25x267x350;Cubierta 1,25x267x350;352757
06-1000412;18,10;Gegenst�ck Schnellspanner 2x95,4x152,4;Quick-action clamp counterpart 2x95.4x152.4                    ;Contrapieza para sujeci�n r�pida 2x95,4x152,4;352758
06-1000416;77,60;Deckblech vorne;Cover plate, front                                             ;Cubierta de chapa delantera;352759
06-1000417;78,60;Deckblech hinten;Cover plate, rear                                              ;Cubierta de chapa trasera;352760
06-1000420;20,70;Blinddeckel Verkleidung TDS150 1,25x400x;Blind cover casing TDS150 1.25x400x;Tapa ciega para revestimiento TDS150 1,25x400x;352761
06-1000427;170,50;Seitenverkleidung rechts unten Zusammenb;Side casing, lower right assembly;Parte inferior derecha del panel de montaje TDS 150kW;352762
06-1000429;40,90;R�ckwandblende Verkleidung TDS 150 kW;Rear wall screen casing TDS 150 kW;Revestimiento panel trasero TDS 150 kW;352763
06-1000430;148,80;Verkleidungst�r oben;Casing door top welding drawing TDS;Revestimiento superior soldadura dibujo TDS 150kW;352764
06-1000431;84,30;Verkleidung Bedienteil;Casing, operating device;Revestimiento elemento de control TDS 120-180kW;352765
06-1000433;78,80;Mittelteil unten rechts Nietzeichnung TD;Middle section lower right, rivet drawing TDS;Esquema remache pieza central inf. der. TDS;352766
06-1000435;188,60;Verkleidungst�r unten Nietzeichnung TDS;Casing door bottom rivet drawing TDS;Esquema remache puerta de revestimiento TDS;352767
06-1000437;113,80;Mittelteil unten links Nietzeichnung TDS;Middle section lower left rivet drawing TDS;Esquema remache pieza central inferior TDS;352768
06-1000443;51,30;Halterung Platine Schwei�zeichnung;Board bracket welding drawing TDS;Sujecci�n placa base TDS 120-180kW;352770
06-1000446;87,10;T�rbefestigungswinkel 4x237,41x392   RAL 1007;Door fastening bracket 4x237.41x392 RAL 1007;Escuadra de fijaci�n para puerta 4x237,41x392 RAL 1007;352771
06-1000447;31,10;Steuerungsabdeckung SHV L=383mm f�r 20-30;Control unit cover SHV l=383mm for 20-30;Cubierta de la zona de control SHV L=383mm para 20-30KW;352772
06-1000449;15,70;Kabelf�hrung 1x149,6x400  RAL 1007;Cable routing 1x149.6x400 RAL 1007;Pasacables 1x149,6x400 RAL 1007;352773
06-1000454;116,20;Verkleidungsblende Unten 1,00x177,5x535,5  schwarz lack;Bottom casing blind 1.00x177.5x535.5 varnished black;Carenado inferior apertura 1,00 x177, 5x535, 5 lacado negro;352774
06-1000455;219,60;Seitenverblendung Links einseitig RAL 10;Lateral sheathing left one-sided RAL 1007;Revestimiento lateral izq. unilateral RAL 10;352775
06-1000457;219,60;Seitenverblendung Rechts einseitig RAL 1;Lateral sheathing right one-sided RAL 1007;Revestimiento lateral der. unilateral RAL 1;352776
06-1000462;406,30;Seitenverkleidung Links;Side casing left:;Revestimiento lateral izquierdo RAL1008;352777
06-1000464;113,60;Verkleidungsdeckel Hinten 1,25x410x500,5   RAL 6005;Casing cover rear 1.25x410x500.5 RAL 6005;Tapa de revestimiento trasera 1,25x410x500,5 RAL 6005;352778
06-1000465;116,20;Verkleidungsdeckel Hinten;Casing cover rear;Revestimientoscubierta posterior;352779
06-1000466;128,10;Verkleidungsdeckel Mitte 1,00x500,5x663   RAL 6005;Casing cover middle 1.00x500.5x663 RAL 6005;Tapa de revestimiento central 1,00x500,5x663 RAL 6005;352780
06-1000470;787,40;T�rverkleidung;Door casing;Panel de la puerta;352782
06-1000479;16,90;Drehmomentst�tze;Torque converter bearing;Soporte momento de torsi�n;352783
06-1000480;15,10;Stellantriebsf�hrung galv. verzinkt 10-1;Servo drive galvanised ;Gu�a de accionamiento del regulador galvanizada 10-1;352784
06-1000487;36,40;Steckerblech, RAL1007 inkl. Kabel Netz;Plug-in panel 1x97.71x534.47 RAL 1007;Chapa de clavijas 1x97,71x534,47 RAL 1007;352785
06-1000489;29,10;Steuerungsabdeckung SHV L=486mm f�r 40-50;Control cover SHV l=486mm for 40-50;Cubierta de la zona de control SHV L=486mm para 40-50KW;352786
06-1000490;32,70;Steuerungsverkleidung SHV;Control cover SHV;Revestimiento zona control SHV;352787
06-1000492;94,70;Haltewinkel 1x97,71x534,47   RAL 1007;Mounting bracket 1x97.71x534.47 RAL 1007;Escuadra de fijaci�n 1x97,71x534,47 RAL 1007;352788
06-1000497;27,80;Verkleidungsblende Unten 1,00x177,5x541   schwarz lack.;Bottom casing blend 1.00x177.5x541 varnished black;Panel de revestimiento inferior 1,00x177,5x541 negro.;352789
06-1000498;136,30;Seitenverblendung Links einseitig RAL100;Lateral sheathing left one-sided RAL 1007;Revestimiento izquierdo unilateral RAL100;352790
06-1000506;515,00;Seitenverkleidung Rechts;Side casing right:;Revestimiento lateralderecho RAL 1007;352791
06-1000508;798,90;Seitenverkleidung Links;Side casing left:;Revestimiento lateral izquierda RAL 1007;352792
06-1000512;101,60;Verkleidungsdeckel Mitte 1,00x506x752;Casing cover middle 1.00x506x752;Tapa de revestimiento central 1,00x506x752;352793
06-1000513;161,70;Verkleidung Vorne RAL 6005;Casing front RAL 6005;Panel frontal RAL 6005;352794
06-1000516;683,20;T�rverkleidung;Door casing;Panel de la puerta;352795
06-1000529;31,90;Deckisolierung W�rmed�mmfilz 80x450x760mm;Cover insulation, insulation felt 80x450x760mm;Aislamiento para tapa de fieltro termoaislante 80x450x760mm;352796
06-1000539;18,10;Deckisolierung W�rmed�mmfilz 80x550x760mm;Cover insulation, insulation felt 80x550x760mm;Aislamiento para tapa de fieltro termoaislante 80x550x760mm;352797
06-1000548;47,50;Verkleidung Bedienteil oben inkl. Isolierung;Casing operating device, top incl. insulation;Carenado superior del panel de aislamiento;352798
06-1000556;19,80;Isolierung Brennerverkleidung Rechts;Insulation burner casing right;Aislamiento quemador carenado derecho;352799
06-1000557;19,80;Isolierung Brennerverkleidung Links;Insulation burner casing left;Aislamiento quemador carenado izquierdo;352800
06-1000565;51,70;Abdeckhaube FU Nietzeichnung TDS 300kW;Covering hood FC TDS 300 kW;Esquema remache cubierta conv. frecuencia TDS 300kW;352801
06-1000575;53,40;Quertr�ger hinten Ger�st TDS 300kW;Frame cross-member TDS 300kW                                   ;Travesa�o trasero estructura TDS 300kW;352802
06-1000586;75,00;Isolierung Deckblech;Insulation, cover plate, boiler casing TDS;Aislamiento chapa de cubierta revestimiento de caldera T;356530
06-1000587;66,90;Isolierung Deckblech;Insulation, cover plate front boiler casing;Aislamiento chapa de cubierta delantera revestim. caldera;356692
06-1000588;107,60;Deckblech hinten;Cover plate, rear                                              ;Cubierta de chapa trasera;352803
06-1000589;107,60;Deckblech mittig;Cover plate, middle                                            ;Chapa de cubierta central;352804
06-1000590;107,60;Deckblech vorne;Cover plate, front                                             ;Cubierta de chapa delantera;352805
06-1000609;145,10;Seitenverkleidung oben hinten;Side casing, top rear assembly;Revestimiento lateral superior trasero ensambl.;352806
06-1000615;85,90;Seitenverkl. li. un. hi.;Side casing, rear lower right;;352807
06-1000625;38,20;Halter Doppelverbinder;Bracket, double connector rivet drawing TDS                    ;Esquema de remache soporte conector doble TDS;352808
06-1000627;3,50;Versteifungsblech Doppelverbinder;Reinforcing plate, double connector                            ;Chapa de refuerzo para conector doble;352809
06-1000636;309,80;Zwischenverkleidung Vorne;Intermediate casing, front;Revestimiento intermedio delantero;352810
06-1000643;194,80;R�ckwandverkleidung oben;Rear wall casing, top;Revestimiento superior de la pared trasera;352811
06-1000646;19,60;Isolierung R�ckwand mittig, Glasseide S1;Insulation, middle rear wall, glass fibre S1                   ;Aislamiento pared trasera central, seda de vidrio S1;352812
06-1000647;89,60;R�ckwandverkleidung mittig Nietzeichnung;Rear wall casing, middle rivet drawing;Esquema de remache revestim. central pared trasera;352813
06-1000650;36,40;Isolierung R�ckwand unten Glasseide S100;Insulation, lower rear wall, glass fibre S100                  ;Aislamiento pared trasera inferior seda de vidrio S100;352814
06-1000651;109,00;R�ckwandverkleidung unten Nietzeichnung;Rear wall casing, bottom ;Esquema de remache revestim. inferior pared trasera;352815
06-1000653;25,40;Dichtleiste Kesselverkleidung TDS 150kW;Sealing strip boiler casing TDS 150 kW;Regleta de obturaci�n revestim. caldera TDS 150kW;352816
06-1000655;109,00;Verkleidungst�r oben rechts;Casing door, top right;;352817
06-1000657;67,80;Verkleidung Revisions�ffnung TDS;Casing, inspection opening TDS;Revestimiento abertura de inspecci�n TDS;352818
06-1000658;62,90;R�ckwandblende Kesselverkleidung TDS 150;Rear wall panel, boiler casing TDS 150;Panel trasero revestimiento de caldera TDS 150;352819
06-1000659;269,80;Seitenverkleidung links oben Zusammenbau;Side cladding, upper left assembly                             ;Revestimiento lateral superior izquierdo ensambl.;356942
06-1000661;286,60;Frontverkleidung;Front casing;Revestimiento delantero;352820
06-1010174;95,60;R�ckwandverkl. links unten;Rear wall casing, lower left;Revestimiento trasero izq. inf.;352821
06-1010176;13,70;Isol. R�ckwandverkl. li. un.;Insul. side casing, rear lower left;;355430
06-1010178;11,20;Isol. R�ckwandverkl. re. un.;Insul. side casing, rear lower right;;355431
06-1010183;168,10;Seitenverkl. re. un. hi.;Side casing, rear lower right;Revestimiento lateral der. inf. tras.;352822
06-1010188;87,50;Deckel Reinigungs�ffnung;Cover for cleaning opening                                     ;Tapa abertura de limpieza;352823
06-1010192;28,80;Isolierung;Insulation                                                     ;Aislamiento;352824
06-1010262;17,60;Blinddeckel Ablaufs. + Vorlauf;Blind cover discharge safety device + feed;Tapa ciega sinf�n salida + impulsi�n;352826
06-1010268;93,30;Verkleidungsdeckel;Cladding cover                                                 ;;356768
06-1010269;9,40;Halteblech Aschebeh�lter;Bracket, ash container                                         ;Chapa de sujeci�n contenedor de ceniza;352827
06-1010276;5,60;Abstandshalter Aschebeh�lter;Spacer, ash container                                          ;Separador contenedor de ceniza;352828
06-1010278;42,40;Kabelkanal abnehmbar;Cable duct, removable                                          ;Canal de cables extra�ble;352829
06-1010280;75,60;Verkleidungsfl�gel;Casing wing;Aleta de revestimiento;352830
06-1010281;346,90;Seitenwand rechts;Side wall, right                                               ;;357086
06-1010285;346,90;Seitenwand links;Side wall, left                                                ;;356761
06-1010289;58,50;Frontverkleidung Oben SB;Front casing top SB;Revestimiento delantero superior SB;356769
06-1010299;51,10;Frontverkleidung Oben SB;Front casing, top SB 8-12kW EF2;Revestimiento delantero superior SB 8-12kW EF2;356962
06-1010303;311,70;Seitenwand rechts;Side wall, right                                               ;;357054
06-1010305;304,00;Seitenwand links;Side wall, left                                                ;;357486
06-1010308;62,60;Frontverkleidung Oben SBG;Front casing top SBG;Revestimiento delantero superior SBG;357089
06-1010334;53,40;Dashboard C4 EFII;Dashboard C4 EFII;;355495
06-1010337;36,40;Kabelkanal  Frontverkleidung;Cable duct front casing;;352831
06-1010341;31,20;Deckel Reinigungs�ffnung;Cover for cleaning opening;Tapa abertura de limpieza;352832
06-1010345;10,70;Halter U-Druckmessdose;Holder negative pressure meter;Soporte para dinam�metro de depresi�n;352833
06-1010347;56,80;Servicedeckel Kettenkasten G30;Chain box maintenance cover G30;Tapa de servicio caja de cadenas G30;352834
06-1010348;70,00;Servicedeckel Kettenkasten G50;Chain wheel box cover G50;Cubierta para caja de cadenas G50;355425
06-1010351;14,90;Blechdeckel;;;356606
06-1010356;255,50;Auflage oben;Support, top;Apoyo superior;352835
06-1010358;253,80;Auflage oben;Support, top;Apoyo superior;352836
06-1010360;60,90;Querauflage;Transverse support;Asiento transversal;352837
06-1010365;667,30;Verkleidungstuer;Casing door 20-50 kW;Puerta de revestimiento 20-50 kW;352838
06-1010366;321,30;Verkleidung oberhalb Brennstoff;Casing above fuel;Revestimiento superior del combustible;352839
06-1010368;248,20;Verkleidung oben Brennkammer;Casing top combustion chamber;Revestimiento superior para c�mara de combusti�n;352840
06-1010370;406,90;Verkleidung Kesseltuer fix;Casing boiler door, fixed;Revestimiento puerta de caldera fijo;352841
06-1010372;434,70;Verkleidung gegenueber Aschebox;Casing opposite the ash container;Revestimiento frente a caja de ceniza;352842
06-1010374;448,90;Verkleidung Frontseite;Casing, front;;355343
06-1010376;105,60;Winkelleiste;Angle strip;;355328
06-1010378;84,80;Halter Decke;Holder ceiling;Soporte para techo;352843
06-1010382;102,60;Verkleidung oben RLA;Casing on top RLA;Revestimiento superior RLA;352844
06-1010384;91,30;Verkleidung oben WT;Casing on top HE;Revestimiento superior WT;352845
06-1010388;54,60;Aufnahme Verkleidung;Casing attachment;Alojamiento para revestimiento;352846
06-1010390;343,60;Verkleidung Steuerungskasten;Casing control box;Revestimiento caja de mando;352847
06-1010394;318,70;Verkleidung Reinigung;Casing, cleaning;Revestimiento para limpieza;352848
06-1010396;77,90;Aufnahme Verkleidungstuer;Casing door attachment;Alojamiento puerta de revestimiento;352849
06-1010403;62,60;Auflage;Support;Apoyo;352850
06-1010409;685,50;Verkleidungstuer;Casing door;Puerta de revestimiento;352851
06-1010413;321,80;Verkleidung oberhalb Brennstoff;Casing above fuel;Revestimiento superior del combustible;352852
06-1010417;344,90;Verkleidung Steuerungskasten;Casing control box;Revestimiento caja de mando;352853
06-1010419;84,10;Halter Decke;Holder ceiling;Soporte para techo;352854
06-1010421;250,30;Verkleidung oben Brennkammer;Casing top combustion chamber;Revestimiento superior para c�mara de combusti�n;352855
06-1010423;428,30;Verkleidung Kesseltuer fix;Casing boiler door, fixed;Revestimiento puerta de caldera fijo;352856
06-1010425;400,90;Verkleidung gegenueber Aschebox;Casing opposite the ash container;Revestimiento frente a caja de ceniza;352857
06-1010427;152,30;Verkleidung oben RLA;Casing on top RLA;Revestimiento superior RLA;352858
06-1010429;116,60;Verkleidung oben WT;Casing on top HE;Revestimiento superior WT;352859
06-1010431;63,10;Querauflage;Transverse support;Asiento transversal;352860
06-1010433;81,00;Aufnahme Verkleidungstuer;Casing door attachment;Alojamiento puerta de revestimiento;352861
06-1010436;55,50;Aufnahme Verkleidung;Casing attachment;Alojamiento para revestimiento;352862
06-1010440;68,00;Auflage;Support;Apoyo;352863
06-1010442;307,40;Auflage oben;Support, top;Apoyo superior;352864
06-1010444;307,40;Auflage oben;Support, top;Apoyo superior;352865
06-1010447;420,30;Verkleidung Frontseite;Casing, front;;355345
06-1010452;311,50;Auflage oben;Support, top;Apoyo superior;352866
06-1010454;311,50;Auflage oben;Support, top;Apoyo superior;352867
06-1010456;463,30;Verkleidung Frontseite;Casing, front;;355344
06-1010461;320,60;Versteifung T�rseite;Reinforcement, door-side;Refuerzo lateral de puerta;352868
06-1010462;257,20;Blende Brennerseite Unterteil;Blind, burner side bottom;Panel inferior lado del quemador;352869
06-1010464;287,30;Blende Brennerseite Oberteil;Blind, burner side top part;Panel superior lado del quemador;352870
06-1010466;448,90;Verkleidung Frontseite 2;Casing, front 2;;355346
06-1010469;61,00;Versteifungsspande;Reinforcement frame;Refuerzo;352871
06-1010472;77,20;T�ranschlag;Door stop;Tope de puerta;352872
06-1010474;64,60;Versteifungsspande G;Reinforcement frame G;Refuerzo G;352873
06-1010475;331,00;Versteifung T�rseite G;Reinforcement, door-side G;Refuerzo lateral de puerta G;352874
06-1010476;295,40;Blende Brennerseite Oberteil G;Blind, burner side top part G;Panel superior lado del quemador G;352875
06-1010478;263,10;Blende Brennerseite Unten G;Blind, burner side bottom G;Panel inferior lado del quemador G;352876
06-1010480;463,30;Verkleidung Frontseite 2;Casing, front 2;;355341
06-1010481;463,30;Verkleidung Frontseite 2;Casing, front 2;;355342
06-1010482;253,50;Verkleidung oben WT;Casing on top HE;Revestimiento superior WT;352877
06-1010506;45,90;Steuerungskasten C4;Control box C4;;356376
06-1010514;37,00;Deckel Luftzuf�hrung;Cover, air supply;;355554
06-1010515;14,20;Deckel Reiniungshebel;Cover, cleaning lever;;355471
06-1010516;8,00;Deckel F�hler BR-Modul;Cover, sensor combustion chamber module;;355895
06-1010524;25,00;Blende Front links;Cover, front left;;355564
06-1010525;21,40;Blende Front rechts;Cover, front right;;355565
06-1010526;25,50;Blende Front oben;Cover, front top;;355551
06-1010533;60,50;Deckel Steuerungskasten;Cover, control box;;355561
06-1010534;42,70;Deckel W�rmetauscher ZSB;Cover, heat exchanger assembly;;355614
06-1010551;38,00;T�rbefestigungswinkel;Door fastening angle;;355566
06-1010552;35,60;Befestigungswinkel Verkleidung;Fastening angle, casing;;355553
06-1010556;38,10;Aschetasse NBG;Ash cup, riveted component;;355976
06-1010561;57,10;Bodenwanne;Floor trough;;356298
06-1010569;42,70;Isolierung R�ckwand;Rear wall insulation;;355556
06-1010570;29,80;Isolierung FR-Modul Oben;Insulation FR module, top;;355563
06-1010604;66,50;Isolierung Deckel W�rmetauscher;Insulation, cover heat exchanger;;355560
06-1010605;8,40;Isolierung R�ckwand Saugzug;Insulation, rear wall induced draught;;355558
06-1010607;25,00;T�raufh�ngung unten;Door hinges, bottom;;355552
06-1010611;51,10;Deckel WKR;;;357140
06-1010617;13,10;Isolierung R�ckwand unten;Insulation, rear wall bottom;;355555
06-1010649;49,50;Magnethaltelasche;Magnetic holding tab;;355397
06-1010655;126,50;Brennerabdeckung A PE-Modul;Burner cover A PE module;;356094
06-1010656;114,10;Brennerabdeckung B PE-Modul;Burner cover B PE module;;356093
06-1010660;65,60;Anschlussprofil;Connection profile;;356095
06-1010665;107,60;R�ckwand;Rear wall;;356353
06-1010667;69,80;Scharnieraufh�ngung NBG;;;356883
06-1010669;122,00;Seitenwand Links;;;357146
